name,name_clean,store,price,price_per_100,query,brand
Chopped Tomatoes in a Rich Tomato Juice,Chopped Tomatoes in a Rich Tomato Juice,aldi,0.47,0.12,vine tomatoes,CUCINA
Peeled Plum Tomatoes in Tomato Juice,Peeled Plum Tomatoes in Tomato Juice,aldi,0.43,0.11,vine tomatoes,EVERYDAY ESSENTIALS
Raspberries,Raspberries,aldi,2.99,1.329,raspberries,NATURE'S PICK
British Raspberries,British Raspberries,aldi,1.99,1.327,raspberries,NATURE'S PICK
Frozen Raspberries,Frozen Raspberries,aldi,1.99,0.5690000000000001,raspberries,FOUR SEASONS
British Red Leicester Cheese 400g,British Red Leicester Cheese 400g,aldi,2.49,0.623,red leicester,EMPORIUM
British Grated Red Leicester Cheese,British Grated Red Leicester Cheese,aldi,1.99,0.796,red leicester,EMPORIUM
Bombay Spiced Red Leicester Cheese,Bombay Spiced Red Leicester Cheese,aldi,1.79,0.8949999999999999,red leicester,SPECIALLY SELECTED
Red Leicester & Harissa Burger Melts,Red Leicester & Harissa Burger Melts,aldi,0.49,0.49,red leicester,SPECIALLY SELECTED
Belton Farm Red Fox Vintage Red Leicester Cheese,Belton Farm Red Fox Vintage Red Leicester Cheese,aldi,2.45,1.114,red leicester,SPECIALLY SELECTED
Braeburn Apples,Braeburn Apples,aldi,1.59,,braeburn apples,NATURE'S PICK
Jazz Apples,Jazz Apples,aldi,2.19,,braeburn apples,NATURE'S PICK
Wonky Apples,Wonky Apples,aldi,0.99,,braeburn apples,EVERYDAY ESSENTIALS
Grated Mozzarella,Grated Mozzarella,aldi,1.99,0.796,mozzarella,EMPORIUM
Classic Mozzarella,Classic Mozzarella,aldi,0.69,0.5519999999999999,mozzarella,EVERYDAY ESSENTIALS
Light Mozzarella,Light Mozzarella,aldi,0.69,0.5519999999999999,mozzarella,EVERYDAY ESSENTIALS
Pepperoni and Mozzarella Selection,Pepperoni and Mozzarella Selection,aldi,1.89,1.45,mozzarella,THE DELI
Tomato & Mozzarella Salad,Tomato & Mozzarella Salad,aldi,2.29,1.145,mozzarella,EAT & GO
Chicken Breast Fillets,Chicken Breast Fillets,aldi,4.25,0.425,chicken breast,EVERYDAY ESSENTIALS
Chicken Breast Fillets,Chicken Breast Fillets,aldi,4.49,0.6910000000000001,chicken breast,ASHFIELDS
Hunters Chicken Breasts,Hunters Chicken Breasts,aldi,3.59,0.835,chicken breast,ASHFIELDS
Diced Chicken Breast,Diced Chicken Breast,aldi,2.99,0.748,chicken breast,ASHFIELDS
Chicken Breast Fillets,Chicken Breast Fillets,aldi,12.29,0.615,chicken breast,ASHFIELDS
Cherry Tomatoes,Cherry Tomatoes,aldi,0.99,0.3,cherry tomatoes,NATURE'S PICK
Cherry Tomatoes,Cherry Tomatoes,aldi,0.62,0.248,cherry tomatoes,EVERYDAY ESSENTIALS
Cherry Tomatoes in Rich Tomato Juice,Cherry Tomatoes in Rich Tomato Juice,aldi,0.75,0.19,cherry tomatoes,SPECIALLY SELECTED
Mozzarella & Semi-Dried Cherry Tomato Wood Fired Pizza,Mozzarella & Semi-Dried Cherry Tomato Wood Fired Pizza,aldi,3.99,0.8140000000000001,cherry tomatoes,SPECIALLY SELECTED
Cherry Bakewells,Cherry Bakewells,aldi,1.19,,cherry tomatoes,HOLLY LANE
French Soft Goat's Cheese,French Soft Goat's Cheese,aldi,1.99,1.327,cream cheese,EMPORIUM
Full Fat Soft Cheese,Full Fat Soft Cheese,aldi,0.95,0.475,cream cheese,THE CHEESE EMPORIUM
Reduced Fat Soft Cheese Lighter,Reduced Fat Soft Cheese Lighter,aldi,0.95,0.475,cream cheese,EMPORIUM
Reduced Fat Soft Cheese Garlic & Herbs,Reduced Fat Soft Cheese Garlic & Herbs,aldi,0.95,0.475,cream cheese,EMPORIUM
Garlic & Herb Coconut Oil Based Vegan Cheese Soft Spread,Garlic & Herb Coconut Oil Based Vegan Cheese Soft Spread,aldi,1.95,1.147,cream cheese,PLANT MENU
British Royal Gala Apples,British Royal Gala Apples,aldi,1.59,,gala apples,NATURE'S PICK
Jazz Apples,Jazz Apples,aldi,2.19,,gala apples,NATURE'S PICK
Braeburn Apples,Braeburn Apples,aldi,1.59,,gala apples,NATURE'S PICK
Chicken Thighs,Chicken Thighs,aldi,2.99,0.299,chicken thighs,ASHFIELDS
